id,title,type,works_type,status,stade_reception,canton,progress_percent,estimated_cost,total_contract_amount_paid,population,beneficiaires_totaux,cout_par_beneficiaire,launch_date,expected_end_date,work_completion_date,retard_jours,expected_duration,location_name
584,Construction d'un centre communautaire à Alégba  + forage photovoltaïque à ALEGBA,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,13318882.0,795.0,857.0,23337.222870478414,2024-01-04,2024-04-04,2024-02-23,-41.0,3.0,ALEGBA
585,Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,14147099.0,447.0,424.0,47169.811320754714,2023-08-06,2023-11-05,2023-12-31,56.0,3.0,ATONTOMI
587,Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception provisoire 100.0%,Reception provisoire,,100.0,20000000.0,14147099.0,400.0,400.0,50000.0,2023-08-06,2023-11-05,2024-06-01,209.0,3.0,BELAGNI
590,"Construction d'un bâtiment scolaire de 4 classes, bureau, magasin + forage au CEG Agbansikiti + équipements",Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,18179041.0,1300.0,1300.0,15384.615384615385,2023-08-06,2023-11-05,2023-12-31,56.0,3.0,AGBANSIKITI
591,Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception technique 100.0%,Reception technique,,100.0,20000000.0,14802637.0,1394.0,1394.0,14347.202295552368,2023-08-05,2023-11-04,2023-12-01,27.0,3.0,ATAFA 2
593,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage à l'EPP Boléa + équipements",Forages photovoltaïques dans les établissements scolaires,Construction,Réception définitive 100.0%,Reception definitive,,100.0,20000000.0,17147072.0,2500.0,2500.0,8000.0,2023-08-06,2023-11-05,2024-06-01,209.0,3.0,BOLEA
595,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Dogodè + équipements ",Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,12422082.0,752.0,752.0,26595.744680851065,2024-01-04,2024-04-04,2024-02-23,-41.0,3.0,DOGODE
598,Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception technique 100.0%,Reception technique,,100.0,20000000.0,15937331.0,1394.0,1293.0,15467.904098994586,2023-08-06,2023-11-05,2024-08-18,287.0,3.0,KALA 2
602,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Lakaba + équipements ",Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,15257400.0,700.0,700.0,28571.428571428572,2023-08-05,2023-11-04,2023-12-01,27.0,3.0,LAKABA
603,Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,16121426.0,600.0,600.0,33333.333333333336,2023-08-05,2023-11-04,2024-02-23,111.0,3.0,ODORIN
605,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Samaï + équipements ",Forages photovoltaïques dans les établissements scolaires,Construction,Réception provisoire 100.0%,Reception provisoire,,12.0,20000000.0,19003266.0,2050.0,2050.0,9756.09756097561,2023-08-06,2023-11-05,2024-10-04,334.0,3.0,SAMAI
607,Construction d'un centre communautaire + forage photovoltaïque,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,14147099.0,841.0,757.0,26420.07926023778,2023-08-06,2023-11-06,2023-12-31,55.0,3.0,SOLIMBIA
611,Construction d’un bâtiment scolaire de 4 classes +bureau – magasin +forage +mobilier+ 2 blocs latrines au CEG,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,13536120.0,5545.0,5060.0,3952.5691699604745,2023-08-04,2023-10-04,2023-12-31,88.0,3.0,ASSERE
615,Construction d’un centre communautaire+ forage+équipement+2 chambres à KAGNISSI,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,13451797.0,4000.0,2752.0,7267.441860465116,2024-02-22,2025-05-21,2024-04-25,-391.0,3.0,KAGNISSI
617,Construction d’un bâtiment scolaire de 3 classes+bureau-magasin+forage+2 blocs latrines+ mobilier à l’EPP,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,13536120.0,1984.0,1984.0,10080.645161290322,2023-07-19,2023-10-18,2023-12-31,74.0,3.0,KAWA
619,Construction d’un bâtiment scolaire de 2 classes (au JEP) +bureau-magasin+forage+2 blocs latrines+ mobilier,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,16090209.0,1011.0,1011.0,19782.393669634024,2023-07-19,2023-10-18,2023-11-03,16.0,3.0,KPANAHORE
622,Construction d’un bâtiment scolaire de 2 classes (au JEP) +bureau-magasin+forage+2 blocs latrines +mobilier,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,13536120.0,590.0,590.0,33898.30508474576,2023-08-03,2023-11-02,2023-12-31,59.0,3.0,SOMSIA
625,Construction d’un bâtiment scolaire de 4 classes +bureau – magasin +forage +mobilier+ 1 bloc administratif au CEG,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,14005170.0,1845.0,1845.0,10840.108401084011,2023-12-23,2024-03-22,2024-03-15,-7.0,3.0,WAZE
627,Réalisation d’un forage photovoltaïque pour eau de boisson dans le quartier Peuhl,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,14710195.0,674.0,674.0,29673.59050445104,2023-07-22,2023-10-21,2024-02-05,107.0,3.0,ASSIMA
628,Réalisation d’un forage photovoltaïque pour eau de boisson et réparation de 2 forages existant,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,14710195.0,752.0,493.0,40567.95131845842,2023-07-19,2023-10-13,2023-12-31,79.0,3.0,BOMWAÏ
631,Réalisation d’un forage photovoltaïque pour eau de boisson dans le quartier Peuhl,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20250000.0,14802637.0,939.0,939.0,21565.495207667733,2023-07-17,2025-10-16,2023-12-31,-655.0,3.0,KADJANGA
635,Construction d’un centre communautaire+ forage+équipement+2 chambres à TERODA,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,,100.0,20000000.0,14710195.0,2007.0,2007.0,9965.122072745391,2023-07-19,2023-10-18,2023-12-31,74.0,3.0,TERODA
