lon,lat,canton,type,works_type,status,stade_reception,progress_percent,estimated_cost,population,beneficiaires_totaux,cout_par_beneficiaire,launch_date,expected_end_date,work_completion_date,retard_jours,location_name,FRI_canton,region,expose_risque_eleve
1.606965,8.824055,,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,795.0,857.0,23337.222870478414,2024-01-04,2024-04-04,2024-02-23,-41.0,ALEGBA,0.08776862347742136,Centrale,False
1.577222,8.888017,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,447.0,424.0,47169.811320754714,2023-08-06,2023-11-05,2023-12-31,56.0,ATONTOMI,0.08074694899684193,Centrale,False
1.614907,8.918368,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception provisoire 100.0%,Reception provisoire,100.0,20000000.0,400.0,400.0,50000.0,2023-08-06,2023-11-05,2024-06-01,209.0,BELAGNI,0.2408882202204571,Centrale,True
1.619747,8.691495,,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,1300.0,1300.0,15384.615384615385,2023-08-06,2023-11-05,2023-12-31,56.0,AGBANSIKITI,0.09316663475903039,Centrale,False
1.563569,8.694493,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception technique 100.0%,Reception technique,100.0,20000000.0,1394.0,1394.0,14347.202295552368,2023-08-05,2023-11-04,2023-12-01,27.0,ATAFA 2,0.09316663475903039,Centrale,False
1.612648,8.528625,,Forages photovoltaïques dans les établissements scolaires,Construction,Réception définitive 100.0%,Reception definitive,100.0,20000000.0,2500.0,2500.0,8000.0,2023-08-06,2023-11-05,2024-06-01,209.0,BOLEA,0.09316663475903039,Centrale,False
1.630917,8.786747,,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,752.0,752.0,26595.744680851065,2024-01-04,2024-04-04,2024-02-23,-41.0,DOGODE,,,False
1.604208,8.673588,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Réception technique 100.0%,Reception technique,100.0,20000000.0,1394.0,1293.0,15467.904098994586,2023-08-06,2023-11-05,2024-08-18,287.0,KALA 2,0.09316663475903039,Centrale,False
1.616948,8.594615,,Forages photovoltaïques dans les communautés pour eau de boisson,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,600.0,600.0,33333.333333333336,2023-08-05,2023-11-04,2024-02-23,111.0,ODORIN,0.09316663475903039,Centrale,False
1.617617,8.764615,,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,841.0,757.0,26420.07926023778,2023-08-06,2023-11-06,2023-12-31,55.0,SOLIMBIA,0.09316663475903039,Centrale,False
1.298193,9.799855,,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,5545.0,5060.0,3952.5691699604745,2023-08-04,2023-10-04,2023-12-31,88.0,ASSERE,0.08275879046077705,Kara,False
1.3124717,9.7638567,,Forage Photovoltaïque (Centre communautaire),Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,4000.0,2752.0,7267.441860465116,2024-02-22,2025-05-21,2024-04-25,-391.0,KAGNISSI,0.08275879046077705,Kara,False
1.3079933,9.73982,,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,1984.0,1984.0,10080.645161290322,2023-07-19,2023-10-18,2023-12-31,74.0,KAWA,0.08275879046077705,Kara,False
1.331408,9.75361,,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,1011.0,1011.0,19782.393669634024,2023-07-19,2023-10-18,2023-11-03,16.0,KPANAHORE,0.08275879046077705,Kara,False
1.3185617,9.7106983,,Forages photovoltaïques dans les établissements scolaires,Construction,Remise de l'ouvrage à la communauté 100.0%,Remis a la communaute,100.0,20000000.0,590.0,590.0,33898.30508474576,2023-08-03,2023-11-02,2023-12-31,59.0,SOMSIA,0.08275879046077705,Kara,False
