region,prefecture,canton,communaute_louvain,priority_score,FRI,total_pop
Maritime,Agoè-Nyivé,Agoè-Nyivé,4,48.5,0.4930971372315273,358223.442808
Maritime,Agoè-Nyivé,Légbassito,4,46.4,0.3432862600259866,154480.559802
Maritime,Agoè-Nyivé,Vakpossito,4,28.8,0.2485634326434136,63267.95692700001
Maritime,Agoè-Nyivé,Togblekope,4,48.9,0.4144426035255774,179199.320921
Maritime,Agoè-Nyivé,Zanguera,4,63.2,0.3074591464425915,218933.127634
Maritime,Agoè-Nyivé,Adétikopé,4,34.3,0.2226921625456402,52840.089426
Maritime,Avé,Kévé,4,42.0,0.2119663825853054,11043.089868
Maritime,Avé,Assahoun,4,39.4,0.1496374561497827,9604.491806
Maritime,Avé,Tovégan,4,36.3,0.0784193377549164,10887.803902
Maritime,Avé,Ando,4,36.7,0.0711415795964946,9495.744831
Maritime,Avé,Zolo,4,35.0,0.0660160510924409,5851.743352
Maritime,Avé,Noépé,4,32.5,0.0674225542291998,10367.572826
Maritime,Avé,Aképé,4,36.8,0.1117957205333165,17313.858359
Maritime,Avé,Badja,4,36.1,0.0849312560832368,10048.043772
Maritime,Bas-Mono,Kpétsou,9,30.5,0.0872623960409154,13667.775344
Maritime,Bas-Mono,Afagnan-Gbléta,9,38.9,0.1235849446001013,31249.042978
Maritime,Bas-Mono,Afagnangan,9,40.3,0.2814943944922352,17676.188806000002
Maritime,Bas-Mono,Attitogon,9,37.0,0.0812563022560387,28876.104163000004
Maritime,Bas-Mono,Hompou,9,33.6,0.0678001412901446,7918.705695000001
Maritime,Bas-Mono,Agome-Glozou,9,27.5,0.0977732643978235,11154.366591
Maritime,Bas-Mono,Agbétiko,9,34.1,0.0624830363506252,3153.961779
Maritime,Golfe,Bè-Est,4,90.6,0.6450010496350246,294407.968876
Maritime,Golfe,Bè-Centre,4,47.7,0.3007857132445131,120144.196629
Maritime,Golfe,Bè-Ouest,4,57.6,0.4931244100886525,129338.199144
Maritime,Golfe,Amoutivé,4,42.2,0.2147406995485243,112333.122491
Maritime,Golfe,Aflao-Gakli,4,59.3,0.3558615399746841,195975.557062
Maritime,Golfe,Baguida,4,81.9,0.6338997276903717,226051.461143
Maritime,Golfe,Aflao-Sagbado,4,73.6,0.5363070271574523,429551.976791
Maritime,Lacs,Aného,9,31.9,0.1117479932455195,8319.615616000001
Maritime,Lacs,Glidji,9,34.7,0.0892845409932689,21192.19384
Maritime,Lacs,Canton D’Aneho,9,23.4,0.0573677740511112,7370.631735
Maritime,Lacs,Aklakou,9,33.6,0.1280981633171436,16023.308526
Maritime,Lacs,Agouégan,9,34.6,0.0757749700789995,10249.348956
Maritime,Lacs,Agbodrafo,4,54.4,0.4920734908229819,89404.008475
Maritime,Lacs,Anfoin,9,30.8,0.073357653891848,11592.037759
Maritime,Lacs,Fiata,9,31.3,0.083854052177165,21109.450521
Maritime,Lacs,Ganavé,9,29.2,0.0788354358783573,13326.048686
Maritime,Vo,Vogan,9,39.1,0.2414430460803063,58675.742912
Maritime,Vo,Vo-Koutimé,9,23.4,0.075525165830131,17235.135028
Maritime,Vo,Togoville,9,29.8,0.1205246213729496,22257.389248
Maritime,Vo,Anyron-Kopé,9,35.1,0.0842362941029623,8283.121792
Maritime,Vo,Dagbati,9,34.6,0.0874601783398281,26317.452928
Maritime,Vo,Dzrékpo,9,30.0,0.0908095216889219,16098.90578
Maritime,Vo,Mome-Hounkpati,9,32.4,0.0651976335154617,6907.74592
Maritime,Vo,Sévagan,4,34.0,0.1116781280216964,9634.455732
Maritime,Vo,Hahotoé,4,39.0,0.1857469311970492,13187.825217
Maritime,Vo,Akoumapé,4,36.2,0.103887579319285,16659.454464000002
Maritime,Yoto,Tabligbo,9,44.3,0.254562141100179,39263.419328
Maritime,Yoto,Amoussimé,5,34.9,0.0724730344021067,13435.210496
Maritime,Yoto,Kouvé,5,42.9,0.2104570655280321,17162.37982
Maritime,Yoto,Kini-Kondji,5,34.1,0.0715482286847249,6192.610048
Maritime,Yoto,Tchékpo,5,38.1,0.076213609607449,16090.519551999998
Maritime,Yoto,Ahépé,5,34.5,0.0758939696989098,12716.550399999998
Maritime,Yoto,Zafi,5,35.8,0.0729283229731708,12272.711888999998
Maritime,Yoto,Gboto,5,35.8,0.0721950926326114,13883.2064
Maritime,Yoto,Tométy-Kondji,5,33.9,0.0697389567716938,5378.830794
Maritime,Yoto,Sendome,5,34.7,0.0743426936326593,7528.845348999999
Maritime,Yoto,Essé-Godjin,5,37.8,0.1137769976148652,11335.089534
Maritime,Yoto,Tokpli,5,36.5,0.1200441026813082,14721.148224
Maritime,Zio,Tsévié,4,50.1,0.3866936805521157,37729.040916
Maritime,Zio,Davié,4,43.5,0.246001100998334,28583.883547
Maritime,Zio,Gblainvié,4,35.7,0.0730587964836506,6031.635099
Maritime,Zio,Abobo,4,45.9,0.2638163542295847,32764.208586
Maritime,Zio,Djagblé,4,42.8,0.323545972919503,22871.121645
Maritime,Zio,Kpomé,4,33.8,0.1013846252406432,11851.60549
Maritime,Zio,Dalavé,4,34.8,0.2119475415812266,24395.010801
Maritime,Zio,Gbatopé,4,15.2,0.091639106862676,17898.923668
Maritime,Zio,Mission-Tové,4,39.8,0.2021322540371957,25356.390537
Maritime,Zio,Kovié,4,37.5,0.091475736238193,15884.060914
Maritime,Zio,Wli,4,34.0,0.0608609623977475,3653.754369
Maritime,Zio,Bolou,4,34.1,0.065635118922633,6082.772319
Maritime,Zio,Gamé,5,36.5,0.0803933508765494,11963.094427
Maritime,Zio,Agbélouvé,5,39.3,0.0903067229016472,26251.331589
Maritime,Zio,Gapé-Centre,5,38.0,0.0862911049115918,19731.043952
Maritime,Zio,Gapé-Kpodji,4,34.2,0.0562975783626975,1963.669248
Plateaux,Agou,Kati,7,34.0,0.0599719936741022,2832.997526
Plateaux,Agou,Agou-Nyogbo-Agbétiko,7,35.0,0.0614212644595306,3358.041634
Plateaux,Agou,Agou-Akplolo,7,32.8,0.0544286431271753,1579.783923
Plateaux,Agou,Agou-Iboé,7,33.8,0.055402050366673,1853.286566
Plateaux,Agou,Agou-Nyogbo-Dzidjole,7,28.0,0.0112459055070005,1579.783923
Plateaux,Agou,Agou-Kébo,7,32.4,0.0407727947470633,2988.118428
Plateaux,Agou,Agou-Tavié,7,27.1,0.0510031514531041,9870.587922
Plateaux,Agou,Agou-Atigbé,7,33.4,0.0547807210993887,2204.34966
Plateaux,Agou,Gadja,7,37.0,0.0828457787386319,16785.714448
Plateaux,Agou,Assahoun-Fiagbé,7,33.0,0.0572409024603336,2547.248496
Plateaux,Agou,Klonou,7,32.1,0.0519067165851612,1836.402711
Plateaux,Agou,Amoussou-Kopé,7,36.7,0.0779274290389427,10312.239164
Plateaux,Agou,Agotimé-Sud (Adzakpa),7,38.3,0.0739149838330998,5662.664228000001
Plateaux,Agou,Agotimé-Nord,7,37.6,0.1034036116871648,10548.221336
Plateaux,Akébou,Djon,2,35.5,0.06969070936232,12660.18081
Plateaux,Akébou,Veh,2,34.0,0.0376869291587735,4900.281088000001
Plateaux,Akébou,Kougnohou,2,34.5,0.0685362778244799,12149.201621
Plateaux,Akébou,Gbendè,2,34.4,0.0564073108604522,3114.00544
Plateaux,Akébou,Yalla,2,32.2,0.036004083784392,3312.480512
Plateaux,Akébou,Sérégbénè,2,34.6,0.0646025572129572,8324.644187
Plateaux,Akébou,Kpalavé,2,35.2,0.065796300548901,7665.24416
Plateaux,Akébou,Kamina-Akébou,6,37.8,0.1162348923245282,11450.65701
Plateaux,Haho,Djemegni,5,40.0,0.0868976153671787,36576.906716
